ProductKey;Product Name;ProductSubcategoryKey;Manufacturer;Brand;Color;Unit Cost;Unit Price;Available Date
782;Contoso Mouse Lock Bundle E200 White;22;Contoso, Ltd;Contoso;White;$6,60;$12,95;16/4/2006
783;Contoso Education Supplies Bundle E200 White;22;Contoso, Ltd;Contoso;White;$6,88;$13,50;2/3/2006
784;Contoso Laptop Starter Bundle M200 White;22;Contoso, Ltd;Contoso;White;$7,59;$16,50;13/11/2007
785;Contoso Education Essentials Bundle M300 White;22;Contoso, Ltd;Contoso;White;$4,37;$9,50;31/12/2006
786;Contoso Desktop Alternative Bundle E200 White;22;Contoso, Ltd;Contoso;White;$5,86;$11,50;16/6/2005
787;Contoso Power Inverter - DC to AC power inverter E900 White;22;Contoso, Ltd;Contoso;White;$4,84;$9,50;3/9/2006
788;Contoso Smart Battery M901 White;22;Contoso, Ltd;Contoso;White;$5,29;$11,50;28/2/2007
789;Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 White;22;Contoso, Ltd;Contoso;White;$15,24;$29,90;13/7/2006
790;Contoso Home/Office Laptop Power Adapter E300 White;22;Contoso, Ltd;Contoso;White;$13,00;$25,50;16/9/2006
791;Contoso USB 2.0 Dock Station docking station M800 White;22;Contoso, Ltd;Contoso;White;$13,75;$29,90;2/8/2006
792;Contoso Enhanced Capacity Battery M800 White;22;Contoso, Ltd;Contoso;White;$12,83;$27,90;13/11/2005
793;Contoso Connectivity Starter Kit Smart Buy M680 White;22;Contoso, Ltd;Contoso;White;$12,83;$27,90;15/11/2007
794;Contoso 90W AC/DC Power Adapter E300 White;22;Contoso, Ltd;Contoso;White;$6,07;$11,90;16/6/2005
795;Contoso Reserve Pen - Tablet Pen E200 White;22;Contoso, Ltd;Contoso;White;$7,09;$13,90;11/4/2009
796;Contoso USB Data Link - direct connect adapter E600 White;22;Contoso, Ltd;Contoso;White;$8,62;$16,90;3/7/2006
797;Contoso Primary Extended Capacity Battery Pack - notebook battery X100 White;22;Contoso, Ltd;Contoso;White;$11,23;$33,90;30/9/2008
798;Contoso Digital camera accessory kit M200 White;22;Contoso, Ltd;Contoso;White;$10,99;$23,90;16/4/2005
799;Contoso Leather Case - case for digital photo camera X20 White;22;Contoso, Ltd;Contoso;White;$13,22;$39,90;5/2/2008
800;Contoso Lens cap E80 White;22;Contoso, Ltd;Contoso;White;$15,27;$29,95;3/1/2009
801;Contoso Battery charger - bike E200 White;22;Contoso, Ltd;Contoso;White;$10,15;$19,90;30/7/2005
802;Contoso USB Optical Mouse E200 White;22;Contoso, Ltd;Contoso;White;$7,90;$15,50;16/5/2006
803;Contoso ADSL Modem Splitter/Filter X 1 E100 White;22;Contoso, Ltd;Contoso;White;$9,13;$17,90;2/11/2008
804;Contoso ADSL Modem Splitter/Filter X 2 E200 White;22;Contoso, Ltd;Contoso;White;$11,68;$22,90;5/5/2009
805;Contoso ADSL Modem Splitter/Filter X 3 E300 White;22;Contoso, Ltd;Contoso;White;$26,97;$52,90;31/3/2009
806;Contoso USB Wave Multi-media Keyboard E280 White;22;Contoso, Ltd;Contoso;White;$8,11;$15,90;8/8/2006
807;Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 White;22;Contoso, Ltd;Contoso;White;$6,07;$11,90;19/9/2006
808;Contoso Rechargeable Battery E100 Grey;22;Contoso, Ltd;Contoso;Grey;$6,60;$12,95;16/4/2005
809;Contoso Dual USB Power Adapter - power adapter E300 Grey;22;Contoso, Ltd;Contoso;Grey;$20,34;$39,90;5/2/2006
810;Contoso Car power adapter M90 Grey;22;Contoso, Ltd;Contoso;Grey;$9,17;$19,95;3/1/2005
811;Contoso Notebook Peripheral Kit M69 Grey;22;Contoso, Ltd;Contoso;Grey;$7,59;$16,50;13/7/2006
812;Contoso Mouse Lock Bundle E200 Grey;22;Contoso, Ltd;Contoso;Grey;$6,60;$12,95;16/4/2006
813;Contoso Education Supplies Bundle E200 Grey;22;Contoso, Ltd;Contoso;Grey;$6,88;$13,50;2/3/2006
814;Contoso Laptop Starter Bundle M200 Grey;22;Contoso, Ltd;Contoso;Grey;$7,59;$16,50;13/11/2007
815;Contoso Education Essentials Bundle M300 Grey;22;Contoso, Ltd;Contoso;Grey;$4,37;$9,50;31/12/2006
816;Contoso Desktop Alternative Bundle E200 Grey;22;Contoso, Ltd;Contoso;Grey;$5,86;$11,50;16/6/2005
817;Contoso Power Inverter - DC to AC power inverter E900 Grey;22;Contoso, Ltd;Contoso;Grey;$4,84;$9,50;3/9/2006
818;Contoso Smart Battery M901 Grey;22;Contoso, Ltd;Contoso;Grey;$5,29;$11,50;28/2/2007
819;Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Grey;22;Contoso, Ltd;Contoso;Grey;$15,24;$29,90;13/7/2006
820;Contoso Home/Office Laptop Power Adapter E300 Grey;22;Contoso, Ltd;Contoso;Grey;$13,00;$25,50;16/9/2006
821;Contoso USB 2.0 Dock Station docking station M800 Grey;22;Contoso, Ltd;Contoso;Grey;$13,75;$29,90;2/8/2006
822;Contoso Enhanced Capacity Battery M800 Grey;22;Contoso, Ltd;Contoso;Grey;$12,83;$27,90;13/11/2005
823;Contoso Connectivity Starter Kit Smart Buy M680 Grey;22;Contoso, Ltd;Contoso;Grey;$12,83;$27,90;15/11/2007
824;Contoso 90W AC/DC Power Adapter E300 Grey;22;Contoso, Ltd;Contoso;Grey;$6,07;$11,90;16/6/2005
825;Contoso Reserve Pen - Tablet Pen E200 Grey;22;Contoso, Ltd;Contoso;Grey;$7,09;$13,90;11/4/2009
826;Contoso USB Data Link - direct connect adapter E600 Grey;22;Contoso, Ltd;Contoso;Grey;$8,62;$16,90;3/7/2006
827;Contoso Primary Extended Capacity Battery Pack - notebook battery X100 Grey;22;Contoso, Ltd;Contoso;Grey;$11,23;$33,90;30/9/2008
828;Contoso Digital camera accessory kit M200 Grey;22;Contoso, Ltd;Contoso;Grey;$10,99;$23,90;16/4/2005
829;Contoso Leather Case - case for digital photo camera X20 Grey;22;Contoso, Ltd;Contoso;Grey;$13,22;$39,90;5/2/2008
830;Contoso Lens cap E80 Grey;22;Contoso, Ltd;Contoso;Grey;$15,27;$29,95;3/1/2009
831;Contoso Battery charger - bike E200 Grey;22;Contoso, Ltd;Contoso;Grey;$10,15;$19,90;30/7/2005
832;Contoso USB Optical Mouse E200 Grey;22;Contoso, Ltd;Contoso;Grey;$7,90;$15,50;16/5/2006
833;Contoso ADSL Modem Splitter/Filter X 1 E100 Grey;22;Contoso, Ltd;Contoso;Grey;$9,13;$17,90;2/11/2008
834;Contoso ADSL Modem Splitter/Filter X 2 E200 Grey;22;Contoso, Ltd;Contoso;Grey;$11,68;$22,90;5/5/2009
835;Contoso ADSL Modem Splitter/Filter X 3 E300 Grey;22;Contoso, Ltd;Contoso;Grey;$26,97;$52,90;31/3/2009
836;Contoso USB Wave Multi-Media Keyboard E280 Grey;22;Contoso, Ltd;Contoso;Grey;$8,11;$15,90;8/8/2006
837;Contoso Cables To Go USB 2.0 Hard Drive Enclosure E920 Grey;22;Contoso, Ltd;Contoso;Grey;$6,07;$11,90;19/9/2006
838;Contoso USB Optical Mouse E200 Gold;22;Contoso, Ltd;Contoso;Gold;$7,90;$15,50;13/11/2008
839;Contoso USB Wave Multi-Media Keyboard M901 Gold;22;Contoso, Ltd;Contoso;Gold;$11,91;$25,90;15/11/2008
840;Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub M200 Gold;22;Contoso, Ltd;Contoso;Gold;$18,35;$39,90;16/6/2008
841;Contoso Reserve Pen - Tablet Pen E200 Gold;22;Contoso, Ltd;Contoso;Gold;$7,09;$13,90;11/4/2009
842;Contoso Bright Light battery E20 Black;22;Contoso, Ltd;Contoso;Black;$13,71;$26,90;31/1/2005
843;Contoso Bright Light battery E20 blue;22;Contoso, Ltd;Contoso;Blue;$13,71;$26,90;31/1/2005
844;Contoso Bright Light battery E20 Pink;22;Contoso, Ltd;Contoso;Pink;$13,71;$26,90;31/1/2005
845;Contoso Bright Light battery E20 White;22;Contoso, Ltd;Contoso;White;$13,71;$26,90;31/1/2005
846;Contoso Ultraportable Neoprene Sleeve E30 Black;22;Contoso, Ltd;Contoso;Black;$7,95;$15,60;3/2/2006
847;Contoso Ultraportable Neoprene Sleeve E30 Pink;22;Contoso, Ltd;Contoso;Pink;$7,95;$15,60;15/5/2008
848;Contoso Ultraportable Neoprene Sleeve E30 Yellow;22;Contoso, Ltd;Contoso;Yellow;$7,95;$15,60;21/5/2006
849;Contoso Ultraportable Neoprene Sleeve E30 Green;22;Contoso, Ltd;Contoso;Green;$7,95;$15,60;11/6/2007
850;Contoso Laptop Keyboard X105 Black;22;Contoso, Ltd;Contoso;Black;$76,50;$230,90;5/2/2008
851;Contoso Laptop Keyboard X105 White;22;Contoso, Ltd;Contoso;White;$76,50;$230,90;5/2/2008
852;Contoso Laptop Keyboard X105 Brown;22;Contoso, Ltd;Contoso;Brown;$76,50;$230,90;5/2/2008
853;Contoso Laptop Keyboard X105 Silver;22;Contoso, Ltd;Contoso;Silver;$76,50;$230,90;5/2/2008
854;Contoso Multimedia Speakers M25 Brown;22;Contoso, Ltd;Contoso;Brown;$59,32;$129,00;8/8/2007
855;Contoso Multimedia Speakers M25 Blue;22;Contoso, Ltd;Contoso;Blue;$59,32;$129,00;8/8/2007
856;Contoso Multimedia Speakers M25 Black;22;Contoso, Ltd;Contoso;Black;$59,32;$129,00;8/8/2007
857;Contoso Multimedia Speakers M25 White;22;Contoso, Ltd;Contoso;White;$59,32;$129,00;8/8/2007
858;Contoso Wireless Notebook Optical Mouse M35 Black;22;Contoso, Ltd;Contoso;Black;$13,77;$29,95;6/7/2008
859;Contoso Wireless Notebook Optical Mouse M35 White;22;Contoso, Ltd;Contoso;White;$13,77;$29,95;6/7/2008
860;Contoso Wireless Notebook Optical Mouse M35 Blue;22;Contoso, Ltd;Contoso;Blue;$13,77;$29,95;6/7/2008
861;Contoso Wireless Notebook Optical Mouse M35 Silver;22;Contoso, Ltd;Contoso;Silver;$13,77;$29,95;6/7/2008
862;Contoso Wireless Notebook Optical Mouse M35 Orange;22;Contoso, Ltd;Contoso;Orange;$13,77;$29,95;6/7/2008
863;Contoso Optical USB Mouse M45 Black;22;Contoso, Ltd;Contoso;Black;$23,45;$50,99;26/3/2007
864;Contoso Optical USB Mouse M45 White;22;Contoso, Ltd;Contoso;White;$23,45;$50,99;26/3/2007
865;Contoso Optical USB Mouse M45 Grey;22;Contoso, Ltd;Contoso;Grey;$23,45;$50,99;26/3/2007
866;Contoso Wireless Laser Mouse M55 Black;22;Contoso, Ltd;Contoso;Black;$32,19;$69,99;8/3/2008
867;Contoso Wireless Laser Mouse M55 White;22;Contoso, Ltd;Contoso;White;$32,19;$69,99;1/8/2008
868;Contoso Wireless Laser Mouse M55 Grey;22;Contoso, Ltd;Contoso;Grey;$32,19;$69,99;5/2/2009
869;Contoso Wireless Laser Mouse M55 Silver;22;Contoso, Ltd;Contoso;Silver;$32,19;$69,99;5/6/2005
870;Contoso Wireless Laser Mouse E50 Black;22;Contoso, Ltd;Contoso;Black;$10,69;$20,96;7/7/2007
871;Contoso Wireless Laser Mouse E50 White;22;Contoso, Ltd;Contoso;White;$10,69;$20,96;7/7/2007
872;Contoso Wireless Laser Mouse E50 Silver;22;Contoso, Ltd;Contoso;Silver;$10,69;$20,96;7/7/2007
873;Contoso Wireless Laser Mouse E50 Grey;22;Contoso, Ltd;Contoso;Grey;$10,69;$20,96;7/7/2007
874;Contoso Wireless Notebook Optical Mouse X205 Black;22;Contoso, Ltd;Contoso;Black;$43,06;$129,95;16/6/2009
875;Contoso Wireless Notebook Optical Mouse X205 White;22;Contoso, Ltd;Contoso;White;$43,06;$129,95;16/6/2009
876;Contoso Wireless Notebook Optical Mouse X205 Blue;22;Contoso, Ltd;Contoso;Blue;$43,06;$129,95;16/6/2009
877;Contoso Wireless Notebook Optical Mouse X205 Silver;22;Contoso, Ltd;Contoso;Silver;$43,06;$129,95;16/6/2009
878;Contoso Wireless Notebook Optical Mouse X205 Orange;22;Contoso, Ltd;Contoso;Orange;$43,06;$129,95;16/6/2009
879;Contoso Optical Wheel OEM PS/2 Mouse E60 Grey;22;Contoso, Ltd;Contoso;Grey;$6,63;$13,00;3/3/2006
880;Contoso Optical Wheel OEM PS/2 Mouse E60 Black;22;Contoso, Ltd;Contoso;Black;$6,63;$13,00;3/3/2006
881;Contoso Optical Wheel OEM PS/2 Mouse E60 White;22;Contoso, Ltd;Contoso;White;$6,63;$13,00;3/3/2006
882;Contoso Optical Wheel OEM PS/2 Mouse E60 Silver;22;Contoso, Ltd;Contoso;Silver;$6,63;$13,00;3/3/2006
883;Contoso Bluetooth Notebook Mouse X305 Black;22;Contoso, Ltd;Contoso;Black;$49,70;$150,00;21/9/2008
884;Contoso Bluetooth Notebook Mouse X305 White;22;Contoso, Ltd;Contoso;White;$49,70;$150,00;21/9/2008
885;Contoso Bluetooth Notebook Mouse X305 Silver;22;Contoso, Ltd;Contoso;Silver;$49,70;$150,00;21/9/2008
886;Contoso Bluetooth Notebook Mouse X305 Grey;22;Contoso, Ltd;Contoso;Grey;$49,70;$150,00;21/9/2008
887;Contoso Bluetooth Notebook Mouse E70 Black;22;Contoso, Ltd;Contoso;Black;$25,49;$50,00;31/5/2007
888;Contoso Bluetooth Notebook Mouse E70 White;22;Contoso, Ltd;Contoso;White;$25,49;$50,00;31/5/2007
889;Contoso Bluetooth Notebook Mouse E70 Silver;22;Contoso, Ltd;Contoso;Silver;$25,49;$50,00;31/5/2007
890;Contoso Bluetooth Notebook Mouse E70 Grey;22;Contoso, Ltd;Contoso;Grey;$25,49;$50,00;31/5/2007
2;Contoso 512MB MP3 Player E51 Blue;1;Contoso, Ltd;Contoso;Blue;$6,62;$12,99;3/5/2005
5;Contoso 2G MP3 Player E200 Red;1;Contoso, Ltd;Contoso;Red;$11,00;$21,57;17/12/2006
7;Contoso 2G MP3 Player E200 Blue;1;Contoso, Ltd;Contoso;Blue;$11,00;$21,57;19/12/2006
10;Contoso 4G MP3 Player E400 Green;1;Contoso, Ltd;Contoso;Green;$30,58;$59,99;16/4/2007
11;Contoso 4G MP3 Player E400 Orange;1;Contoso, Ltd;Contoso;Orange;$30,58;$59,99;16/4/2007
12;Contoso 4GB Flash MP3 Player E401 Blue;1;Contoso, Ltd;Contoso;Blue;$35,72;$77,68;16/6/2007
17;Contoso 8GB Super-Slim MP3/Video Player M800 Red;1;Contoso, Ltd;Contoso;Red;$50,56;$109,95;16/1/2008
18;Contoso 8GB Super-Slim MP3/Video Player M800 Green;1;Contoso, Ltd;Contoso;Green;$50,56;$109,95;16/1/2008
19;Contoso 8GB Super-Slim MP3/Video Player M800 Pink;1;Contoso, Ltd;Contoso;Pink;$50,56;$109,95;16/1/2008
21;Contoso 8GB MP3 Player new model M820 Blue;1;Contoso, Ltd;Contoso;Blue;$61,62;$134,00;20/3/2008
22;Contoso 8GB MP3 Player new model M820 Yellow;1;Contoso, Ltd;Contoso;Yellow;$61,62;$134,00;20/3/2008
24;Contoso 16GB Mp5 Player M1600 Blue;1;Contoso, Ltd;Contoso;Blue;$91,93;$199,90;11/3/2009
26;Contoso 16GB Mp5 Player M1600 Green;1;Contoso, Ltd;Contoso;Green;$91,93;$199,90;11/3/2009
28;Contoso 16GB Mp5 Player M1600 Red;1;Contoso, Ltd;Contoso;Red;$91,93;$199,90;11/3/2009
30;Contoso 32GB Video MP3 Player M3200 Red;1;Contoso, Ltd;Contoso;Red;$84,49;$255,00;2/6/2008
31;Contoso 32GB Video MP3 Player M3200 Orange;1;Contoso, Ltd;Contoso;Orange;$84,49;$255,00;2/6/2008
32;Contoso 32GB Video MP3 Player M3200 Pink;1;Contoso, Ltd;Contoso;Pink;$84,49;$255,00;2/6/2008
36;Contoso 4GB Portable MP3 Player M450 Yellow;1;Contoso, Ltd;Contoso;Yellow;$48,92;$95,95;28/12/2007
39;Contoso 8GB Clock & Radio MP3 Player X850 Green;1;Contoso, Ltd;Contoso;Green;$99,14;$299,23;2/2/2006
40;Contoso 8GB Clock & Radio MP3 Player X850 Blue;1;Contoso, Ltd;Contoso;Blue;$99,14;$299,23;2/2/2006
44;Contoso 16GB New Generation MP5 Player M1650 blue;1;Contoso, Ltd;Contoso;Blue;$106,69;$232,00;18/4/2009
45;Contoso 16GB New Generation MP5 Player M1650 Pink;1;Contoso, Ltd;Contoso;Pink;$106,69;$232,00;18/4/2009
279;Contoso Home Theater System 2.1 Channel E1200 Brown;11;Contoso, Ltd;Contoso;Brown;$152,44;$299,00;5/1/2005
280;Contoso Home Theater System 2.1 Channel M1210 Brown;11;Contoso, Ltd;Contoso;Brown;$167,73;$329,00;5/1/2005
281;Contoso Home Theater System 7.1 Channel M1700 Brown;11;Contoso, Ltd;Contoso;Brown;$294,54;$889,00;5/4/2005
282;Contoso Home Theater System 4.1 Channel M1400 Brown;11;Contoso, Ltd;Contoso;Brown;$208,52;$409,00;2/1/2006
283;Contoso Home Theater System 5.1 Channel M1500 Brown;11;Contoso, Ltd;Contoso;Brown;$197,28;$429,00;5/4/2005
284;Contoso Home Theater System 5.1 Channel M1510 Brown;11;Contoso, Ltd;Contoso;Brown;$224,87;$489,00;1/12/2007
285;Contoso Home Theater System 4.1 Channel M1410 Brown;11;Contoso, Ltd;Contoso;Brown;$167,73;$329,00;23/8/2006
286;Contoso Home Theater System 5.1 Channel M1520 Brown;11;Contoso, Ltd;Contoso;Brown;$155,89;$339,00;15/11/2007
287;Contoso Home Theater System 5.1 Channel M1530 Brown;11;Contoso, Ltd;Contoso;Brown;$183,49;$399,00;11/2/2005
288;Contoso Home Theater System 2.1 Channel E1220 Brown;11;Contoso, Ltd;Contoso;Brown;$101,46;$199,00;1/1/2004
289;Contoso Home Theater System 5.1 Channel M1540 Brown;11;Contoso, Ltd;Contoso;Brown;$243,27;$529,00;15/3/2008
290;Contoso Home Theater System 4.1 Channel M1420 Brown;11;Contoso, Ltd;Contoso;Brown;$244,72;$480,00;15/3/2007
291;Contoso Home Theater System 2.1 Channel M1230 Brown;11;Contoso, Ltd;Contoso;Brown;$183,54;$360,00;1/7/2008
1084;Contoso SLR Camera X143 Grey;24;Contoso, Ltd;Contoso;Grey;$214,03;$646,00;16/6/2005
1085;"Contoso SLR Camera 35"" X358 Grey";24;Contoso, Ltd;Contoso;Grey;$188,19;$568,00;3/9/2006
1086;Contoso SLR Camera M143 Grey;24;Contoso, Ltd;Contoso;Grey;$139,80;$304,00;28/2/2007
1087;"Contoso SLR Camera 35"" M358 Grey";24;Contoso, Ltd;Contoso;Grey;$164,63;$358,00;13/7/2006
1088;Contoso SLR Camera X144 Silver Grey;24;Contoso, Ltd;Contoso;Silver Grey;$222,98;$673,00;16/9/2004
1089;"Contoso SLR Camera 35"" X358 Silver Grey";24;Contoso, Ltd;Contoso;Silver Grey;$188,19;$568,00;2/8/2006
1090;Contoso SLR Camera M144 Silver Grey;24;Contoso, Ltd;Contoso;Silver Grey;$152,68;$332,00;13/11/2005
1091;"Contoso SLR Camera 35"" M358 Silver Grey";24;Contoso, Ltd;Contoso;Silver Grey;$164,63;$358,00;15/11/2007
1092;Contoso SLR Camera X144 Gold;24;Contoso, Ltd;Contoso;Gold;$222,98;$673,00;16/6/2005
1093;"Contoso SLR Camera 35"" X358 Gold";24;Contoso, Ltd;Contoso;Gold;$188,19;$568,00;11/4/2009
1094;Contoso SLR Camera M144 Gold;24;Contoso, Ltd;Contoso;Gold;$152,68;$332,00;3/7/2006
1095;"Contoso SLR Camera 35"" M358 Gold";24;Contoso, Ltd;Contoso;Gold;$164,63;$358,00;30/9/2008
1096;Contoso SLR Camera X145 Pink;24;Contoso, Ltd;Contoso;Pink;$209,39;$632,00;16/4/2005
1097;"Contoso SLR Camera 35"" X358 Pink";24;Contoso, Ltd;Contoso;Pink;$188,19;$568,00;5/2/2008
1098;Contoso SLR Camera M145 Pink;24;Contoso, Ltd;Contoso;Pink;$157,73;$343,00;3/1/2009
1099;"Contoso SLR Camera 35"" M358 Pink";24;Contoso, Ltd;Contoso;Pink;$164,63;$358,00;30/7/2005
1100;Contoso SLR Camera X145 Blue;24;Contoso, Ltd;Contoso;Blue;$209,39;$632,00;16/5/2006
1101;"Contoso SLR Camera 35"" X358 Blue";24;Contoso, Ltd;Contoso;Blue;$188,19;$568,00;2/11/2008
1102;Contoso SLR Camera M145 Blue;24;Contoso, Ltd;Contoso;Blue;$157,73;$343,00;5/5/2005
1103;"Contoso SLR Camera 35"" M358 Blue";24;Contoso, Ltd;Contoso;Blue;$164,63;$358,00;31/3/2007
1104;Contoso SLR Camera X146 Orange;24;Contoso, Ltd;Contoso;Orange;$141,47;$427,00;8/8/2006
1105;"Contoso SLR Camera 35"" X358 Orange";24;Contoso, Ltd;Contoso;Orange;$188,19;$568,00;19/9/2006
1106;Contoso SLR Camera M146 Orange;24;Contoso, Ltd;Contoso;Orange;$148,08;$322,00;28/2/2006
1107;"Contoso SLR Camera 35"" M358 Orange";24;Contoso, Ltd;Contoso;Orange;$164,63;$358,00;13/7/2006
1256;Contoso General Carrying Case E304 Blue;28;Contoso, Ltd;Contoso;Blue;$10,19;$19,99;19/5/2007
1257;Contoso Cyber Shot Digital Cameras Adapter E306 Pink;28;Contoso, Ltd;Contoso;Pink;$20,39;$39,99;8/8/2008
1258;Contoso Cyber Shot Digital Cameras Adapter E306 Blue;28;Contoso, Ltd;Contoso;Blue;$20,39;$39,99;8/8/2008
1267;Contoso Carrying Case E312 Pink;28;Contoso, Ltd;Contoso;Pink;$25,47;$49,96;25/9/2006
1269;Contoso Carrying Case E312 Blue;28;Contoso, Ltd;Contoso;Blue;$25,47;$49,96;25/9/2006
1270;Contoso Lens Cap Keeper E314 Pink;28;Contoso, Ltd;Contoso;Pink;$3,54;$6,95;6/4/2007
1271;Contoso Lens Cap Keeper E314 Yellow;28;Contoso, Ltd;Contoso;Yellow;$3,54;$6,95;6/4/2007
1276;Contoso Digital Cameras Lightweight Tripod E316 Pink;28;Contoso, Ltd;Contoso;Pink;$26,58;$52,13;9/8/2008
1278;Contoso General Soft Carrying Case E318 Blue;28;Contoso, Ltd;Contoso;Blue;$7,64;$14,99;1/1/2009
1282;Contoso Mini Battery Charger Kit E320 Red;28;Contoso, Ltd;Contoso;Red;$12,74;$24,99;7/3/2006
1289;Contoso Genuine Leather Grip Belt E322 Grey;28;Contoso, Ltd;Contoso;Grey;$39,76;$77,99;8/4/2007
1298;Contoso USB Cable M250 Yellow;28;Contoso, Ltd;Contoso;Yellow;$11,50;$25,00;3/3/2006
1299;Contoso USB Cable M250 Blue;28;Contoso, Ltd;Contoso;Blue;$11,50;$25,00;3/3/2006
1303;Contoso Telephoto Conversion Lens M350 Blue;28;Contoso, Ltd;Contoso;Blue;$43,69;$95,00;19/9/2007
